style,wine,acid,red meat,cured meat,game,pork,poultry,fish,shellfish,mollusk,green veg,root veg,allium,nightshade,hot_pepper,bean,fungi,fresh green,earthy green,bitter floral,savory brown,sharp spicy,perfumed/citrus spicy,smoky spicy,umami spicy,baking spice,anise,butter_cream,fresh/salty,delicate/nutty,strong/firm,pungent
bold red,cabernet sauvignon,1,5,3,3,3,1,0,0,0,1,1,3,4,-1,1,4,3,2,1,1,1,1,1,5,5,3,2,1,1,3,1
medium red,merlot,1,3,4,5,5,4,0,0,0,1,4,3,5,-1,4,5,3,2,1,2,1,1,4,3,4,5,3,1,3,5,5
bold red,syrah,1,5,5,5,3,2,0,0,0,1,1,3,3,1,1,4,1,3,2,2,3,1,3,5,4,5,2,1,2,5,5
bold red,malbec,1,5,4,3,3,3,0,0,0,1,1,3,3,1,1,4,4,4,2,2,1,1,1,5,5,3,2,1,2,5,5
light red,pinot noir,3,3,5,5,4,5,3,3,1,2,3,4,4,1,3,5,2,4,3,3,3,1,1,2,5,3,2,3,4,4,3
medium red,sangiovese,3,3,4,5,5,4,2,1,1,2,3,3,5,-1,3,4,2,5,2,2,1,1,2,5,3,3,3,3,4,5,3
rich white,chardonnay,4,1,2,2,3,5,5,5,3,3,3,4,2,1,2,5,5,3,2,1,1,5,1,1,5,1,4,3,5,4,3
light white,sauvignon blanc,5,0,1,1,2,5,5,5,5,5,2,3,4,1,1,1,5,3,5,1,2,5,1,1,1,1,0,4,4,3,4
light white,riesling dry,5,0,1,2,1,3,5,5,5,4,4,3,2,1,4,1,5,2,5,1,3,5,2,3,3,2,0,5,5,4,3
sweet white,riesling off-dry,3,0,4,2,4,4,3,2,3,3,4,5,3,5,3,2,1,2,4,3,2,4,4,3,4,3,1,3,4,5,5
rich white,gewurztraminer,-1,0,4,4,4,4,2,2,2,3,4,5,2,3,2,2,2,5,5,4,4,4,2,3,4,1,2,5,4,4,5
light white,chenin blanc dry,4,0,1,2,2,4,4,3,4,2,4,4,3,1,2,5,2,4,2,1,3,4,1,1,2,4,1,4,5,3,4
sweet white,chenin blanc off-dry,3,0,4,4,4,4,2,2,1,2,4,4,3,5,4,4,1,3,3,3,4,4,4,2,5,3,2,3,4,5,4
bold red,mourvedre,1,5,3,4,4,2,0,0,0,1,2,3,3,1,2,4,2,4,1,3,1,1,2,4,4,4,2,1,1,3,2
bold red,pinotage,1,5,3,5,3,1,0,0,0,1,2,2,4,-1,2,3,3,2,2,2,1,1,4,4,3,4,2,1,1,5,2
bold red,petite sirah,1,5,3,4,4,1,0,0,0,1,3,3,3,-1,3,3,2,2,2,1,1,1,3,4,5,5,2,2,3,5,4
bold red,touriga nacional,1,5,3,3,4,2,0,0,0,1,3,3,3,-1,4,3,1,2,3,3,1,1,3,4,3,4,2,3,3,4,4
bold red,bordeaux blend,1,4,4,5,4,3,0,0,0,1,3,3,5,1,2,5,3,2,2,2,1,1,3,4,5,5,2,2,3,5,5
bold red,zinfandel,2,4,3,4,4,4,0,0,0,1,3,3,4,1,3,3,1,1,1,3,1,3,3,4,4,3,2,1,2,5,3
medium red,cabernet franc,3,3,4,5,5,4,2,2,1,2,1,3,5,2,4,3,1,3,3,2,1,2,4,2,4,4,3,5,3,2,4
medium red,tempranillo,3,4,5,4,4,4,2,0,0,1,4,4,5,0,3,3,1,3,2,3,3,1,4,4,4,3,3,1,4,4,1
medium red,nebbiolo,1,4,4,4,4,2,0,0,0,1,3,4,5,-1,4,4,2,2,4,3,1,2,2,5,5,5,3,1,2,5,2
medium red,barbera,3,4,3,5,3,3,1,0,0,1,2,3,4,-1,3,4,1,2,3,2,1,1,1,4,3,5,3,2,3,3,5
medium red,carignan,2,2,4,3,4,4,1,1,1,2,4,4,4,1,4,4,2,4,3,4,2,3,3,4,5,2,3,3,2,5,3
medium red,rhone blend,2,4,4,5,4,4,1,1,0,1,2,3,4,1,3,5,1,3,3,4,3,2,2,3,4,4,3,2,3,4,4
light red,grenache,2,2,3,4,4,5,3,1,1,2,3,2,3,2,2,4,3,4,3,3,2,3,2,3,4,4,2,4,5,3,2
light red,gamay,3,1,4,4,4,5,3,2,1,3,4,3,3,2,3,4,3,2,2,4,4,4,2,2,4,4,2,5,5,3,1
light red,st. laurent,3,2,5,5,4,3,1,1,1,2,2,3,4,2,3,4,1,4,3,2,1,1,1,2,4,3,2,3,4,4,1
rose,provencal rose,5,0,2,1,2,3,4,5,4,5,2,2,3,2,2,1,2,2,2,1,4,3,1,1,3,2,1,5,4,2,2
rose,white zinfandel,2,0,1,1,1,2,2,2,1,4,2,1,1,3,1,1,3,1,1,1,3,2,3,3,2,1,2,2,2,2,2
rose,dry rose,4,0,2,1,2,4,4,4,3,5,3,2,3,2,2,1,2,3,3,1,2,2,1,1,3,2,1,5,2,3,3
rich white,viognier,0,0,3,2,4,5,4,3,1,2,5,3,2,4,3,2,1,2,4,3,4,5,4,2,2,3,4,4,4,2,2
rich white,marsanne blend,1,0,2,3,3,4,4,4,2,3,4,3,1,3,2,2,3,2,4,4,4,4,2,2,2,1,4,1,4,5,1
light white,albariño,5,0,1,1,2,4,5,5,5,5,1,2,3,2,2,1,5,2,3,2,3,2,1,1,1,1,1,4,5,2,1
light white,pinot blanc,2,0,1,2,3,4,4,4,1,5,2,3,2,1,4,3,4,3,3,3,2,3,1,1,3,1,2,4,3,3,1
light white,vermentino,4,0,2,1,1,4,5,5,3,5,2,2,2,1,3,1,4,4,3,1,3,1,1,1,1,1,1,4,2,4,1
light white,melon de bourgogne,5,0,1,1,1,3,4,5,5,5,2,2,3,1,2,2,5,2,2,1,2,2,1,2,1,1,0,4,1,1,1
light white,garganega,4,0,1,1,2,4,4,4,4,4,2,3,3,1,4,2,4,4,2,1,1,1,1,1,1,1,1,5,3,4,1
light white,pinot gris/grigio,4,0,1,1,1,2,5,4,5,5,2,3,2,2,2,1,5,2,2,1,4,2,1,1,3,3,2,4,3,2,1
sparkling,champagne,5,3,3,1,2,4,5,5,5,2,3,3,2,-1,3,4,4,4,4,3,3,2,1,1,4,3,3,5,5,4,1